,Unnamed: 0,Unnamed: 0.1,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,cluster
143,143,148,xv0esvos,5227121ac5523e669cc04c9a8f2660080d995a34,PMC,A combined nucleocapsid vaccine induces vigorous SARS-CD8+ T-cell immune responses,10.1186/1479-0556-3-7,PMC1249587,16115319.0,cc-by,several study shown cellmediated immune response play crucial role controlling viral replication candidate sars vaccine elicit broad cd tcell immune response several group mouse immunized alone combination sarsnucleocapsid immunogen high level specific sarscd tcell response demonstrated mouse received dna encoding sarsnucleocapsid protein xiap adjuvant also observed coadministration plasmid expressing nucleocapsid recombinant protein montanidecpg induces high antibody titer immunized mouse moreover vaccine approach merit investigation potential candidate vaccine sars,2005-08-22,"Azizi, Ali; Aucoin, Susan; Tadesse, Helina; Frost, Rita; Ghorbani, Masoud; Soare, Catalina; Naas, Turaya; Diaz-Mitoma, Francisco",Genet Vaccines Ther,,,,document_parses/pdf_json/5227121ac5523e669cc04c9a8f2660080d995a34.json,document_parses/pmc_json/PMC1249587.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1249587/,,3
148,148,153,bb27z7h0,e6d533faf65d64332697077b71aa71dfc78fc06a,PMC,The effects of injection of bovine vaccine into a human digit: a case report,10.1186/1476-069x-4-21,PMC1262740,16219096.0,cc-by,background incidence needlestick injury farmer veterinary surgeon significant consequence injection serious case presentation report accidental injection bovine vaccine base little finger resulted increased pressure flexor sheath causing sign symptom ischemia amputation digit required despite repeated surgical debridement decompression conclusion previous report injection oilbased vaccine human hand resulting granulomatous inflammation sterile abscess causing morbidity tissue loss selfinjection veterinary vaccine occupational hazard farmer veterinary surgeon injection vaccine closed compartment human finger serious sequela including loss injected digit injury underestimated early debridement irrigation injected area decompression likely give best outcome frequent review necessary first procedure repeat operation may required,2005-10-11,"O'Neill, Jennifer K; Richards, Simon W; Ricketts, David M; Patterson, Marc H",Environ Health,,,,document_parses/pdf_json/e6d533faf65d64332697077b71aa71dfc78fc06a.json,document_parses/pmc_json/PMC1262740.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1262740/,,3
194,194,201,krzhxu1p,acb6848d159dbf4970d1f76474a634110b3558e7,PMC,Heterologous expression of Brucella abortus GroEL heat-shock protein in Lactococcus lactis,10.1186/1475-2859-5-14,PMC1444932,16556312.0,cc-by,background brucella abortus facultative intracellular pathogen mainly infects cattle human current vaccine rely live attenuated strain b abortus revert pathogenic status thus totally safe use human therefore development mucosal live vaccine using foodgrade lactic acid bacterium lactococcus lactis antigen delivery vector attractive alternative safer vaccination strategy b abortus report construction l lactis strain genetically modified produce b abortus groel heatshock protein candidate antigen two cellular location intracellular secreted result secreted form groel stably produced l lactis suggesting detrimental effect groel protein intracellularly produced bacterium trace amount mature groel detected supernatant fraction induced lactococcal culture groel precursor remained stacked cell fraction attempt raise secretion yield made even groel fused synthetic propeptide secretion antigen improved conclusion found l lactis able produce secrete stable form groel extracellular medium despite low secretion efficiency groel suggest antigen interacts cell envelope l lactis secretion seems best way achieve production protein yield regardless cellular location l lactis strain secreting groel potential vivo immunization,2006-03-23,"Miyoshi, Anderson; Bermúdez-Humarán, Luis G; Ribeiro, Luciana A; Le Loir, Yves; Oliveira, Sérgio C; Langella, Philippe; Azevedo, Vasco",Microb Cell Fact,,,,document_parses/pdf_json/acb6848d159dbf4970d1f76474a634110b3558e7.json,document_parses/pmc_json/PMC1444932.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1444932/,,3
201,201,208,na7z92i8,f38f3b112e4b702b60ba56be806d418bbb2b83c3,PMC,Immune Protection of Nonhuman Primates against Ebola Virus with Single Low-Dose Adenovirus Vectors Encoding Modified GPs,10.1371/journal.pmed.0030177,PMC1459482,16683867.0,cc0,background ebola virus cause hemorrhagic fever syndrome associated high mortality human absence effective therapy ebola virus infection development vaccine becomes important strategy contain outbreak immunization dna andor replicationdefective adenoviral vector rad encoding ebola glycoprotein gp nucleoprotein np previously shown confer specific protective immunity nonhuman primate gp exert cytopathic effect transfected cell vitro multiple gp form identified nature raising question would optimal human vaccine method finding address question explored efficacy mutant gps multiple ebola virus strain reduced vitro cytopathicity analyzed protective effect primate challenge model without np deletion gp transmembrane domain eliminated vitro cytopathicity reduced protective efficacy least one order magnitude contrast point mutation identified abolished cytopathicity retained immunogenicity conferred immune protection absence np minimal effective rad dose established particle two log lower used previously conclusion expression specific gps alone vectored rad sufficient confer protection lethal challenge relevant nonhuman primate model elimination np vaccine dose reduction rad particle diminish protection simplify vaccine providing basis selection human vaccine candidate,2006-05-16,"Sullivan, Nancy J; Geisbert, Thomas W; Geisbert, Joan B; Shedlock, Devon J; Xu, Ling; Lamoreaux, Laurie; Custers, Jerome H. H. V; Popernack, Paul M; Yang, Zhi-Yong; Pau, Maria G; Roederer, Mario; Koup, Richard A; Goudsmit, Jaap; Jahrling, Peter B; Nabel, Gary J",PLoS Med,,,,document_parses/pdf_json/f38f3b112e4b702b60ba56be806d418bbb2b83c3.json,document_parses/pmc_json/PMC1459482.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1459482/,,3
233,233,246,exm1rv1w,67727dc7bb076ef6ddeb55c754af98e672ee60e0,PMC,Live bacterial vaccines – a review and identification of potential hazards,10.1186/1475-2859-5-23,PMC1538998,16796731.0,cc-by,use live bacteria induce immune response carried vaccine component attractive vaccine strategy advantage live bacterial vaccine include mimicry natural infection intrinsic adjuvant property possibility administered orally derivative pathogenic nonpathogenic food related bacteria currently evaluated live vaccine however pathogenic bacteria demand attenuation weaken virulence use bacteria vaccine delivery vehicle implies construction recombinant strain contain gene cassette encoding antigen increased knowledge mucosal immunity availability genetic tool heterologous gene expression concept live vaccine vehicle gain renewed interest however administration live bacterial vaccine pose risk addition vaccination using recombinant bacteria result release live recombinant organism nature place vaccine debate application genetically modified organism review give overview live bacterial vaccine market describe development new live vaccine focus attenuated bacteria foodrelated lactic acid bacteria furthermore outline safety concern identify hazard associated live bacterial vaccine try give suggestion consider development,2006-06-23,"Detmer, Ann; Glenting, Jacob",Microb Cell Fact,,,,document_parses/pdf_json/67727dc7bb076ef6ddeb55c754af98e672ee60e0.json,document_parses/pmc_json/PMC1538998.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1538998/,,3
248,248,262,j3p1u80n,4c84dbfd01f7b2009ebed54376da8afcbcf1ec64,PMC,Model-Based Design of Growth-Attenuated Viruses,10.1371/journal.pcbi.0020116,PMC1557587,16948530.0,cc-by,livevirus vaccine activate humoral cellmediated immunity require single boosting generally provide longer immune protection killed subunit vaccine however growth livevirus vaccine must attenuated minimize potential pathogenic effect mechanism attenuation conventional serialtransfer viral adaptation wellunderstood new method attenuation based rational engineering viral genome may offer potentially greater control one link defined genetic modification change virus growth begin establish link genotype growth phenotype developed computer model intracellular growth vesicular stomatitis virus vsv wellstudied nonsegmented negativestranded rna virus model incorporated established regulatory mechanism vsv integrating key wildtype infection step hijacking host resource transcription translation replication followed assembly release progeny vsv particle generalization wildtype model allow genome rearrangement matched experimentally observed attenuation ranking recombinant vsv strain altered genome position nucleocapsid gene finally simulation captured previously reported experimental result showing altering position vsv gene potential attenuate vsv growth overexpressing immunogenic vsv surface glycoprotein model facilitate engineering new livevirus vaccine linking genomic manipulation controlled change virus geneexpression growth,2006-09-01,"Lim, Kwang-il; Lang, Tobias; Lam, Vy; Yin, John",PLoS Comput Biol,,,,document_parses/pdf_json/4c84dbfd01f7b2009ebed54376da8afcbcf1ec64.json,document_parses/pmc_json/PMC1557587.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1557587/,,3
286,286,303,5hryh1ft,0491da5ae5c2fa38824350bde5462ed82ebc24e7,PMC,Immunogenicity of a polyvalent HIV-1 candidate vaccine based on fourteen wild type gp120 proteins in golden hamsters,10.1186/1471-2172-7-25,PMC1636068,17076905.0,cc-by,background one major obstacle design effective vaccine hiv hypervariability hiv envelope glycoprotein hiv vaccine candidate utilized envelope glycoprotein single virus isolate date none elicited broadly reactive humoral immunity herein hypothesised cocktail hiv gp protein containing multiple epitope may increase breadth immune response hiv compared evaluated immunogenicity hiv vaccine containing either gp protein alone combination four fourteen gps different primary hiv isolates immunized hamster result amplified characterized different gps primary subtype b isolates syncytium nonsyncytium inducing property expressed protein chinese hamster ovary cho cell line purified protein used either alone combination four fourteen different gps vaccinate golden hamster polyvalent vaccine showed higher antibody titer hiv subtype b isolates mn sf compared group received one four gp protein however polyvalent vaccine able show higher neutralizing antibody response hiv primary isolates interestingly polyvalent vaccine group highest proliferative immune response showed substantial proportion crosssubtype cd reactivity hiv subtypes b c ae conclusion although polyvalent approach achieved modest increase breadth humoral cellular immunity qualitative change vaccine v gp resulted quantitative improvement vaccineinduced immunity,2006-10-31,"Azizi, Ali; Anderson, David E; Ghorbani, Masoud; Gee, Katrina; Diaz-Mitoma, Francisco",BMC Immunol,,,,document_parses/pdf_json/0491da5ae5c2fa38824350bde5462ed82ebc24e7.json,document_parses/pmc_json/PMC1636068.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1636068/,,3
297,297,314,bs3j3nss,29b6131c0d572d383cbc6774b12e4471aa612b07,PMC,Vaccine Efficacy in Senescent Mice Challenged with Recombinant SARS-CoV Bearing Epidemic and Zoonotic Spike Variants,10.1371/journal.pmed.0030525,PMC1716185,17194199.0,cc-by,background severe acute respiratory syndrome coronavirus sarscov identified etiological agent severe acute respiratory syndrome disease characterized severe pneumonia sometimes result death sarscov zoonotic virus crossed specie barrier likely originating bat specie including civet raccoon dog domestic cat swine rodent sarscov vaccine confer longterm protection especially vulnerable senescent population epidemic strain zoonotic strain may yet emerge animal reservoir report comprehensive investigation sars vaccine efficacy young senescent mouse following homologous heterologous challenge method finding using venezuelan equine encephalitis virus replicon particle vrp expressing epidemic urbani sarscov strain spike glycoprotein vrps nucleocapsid n protein strain vrpn demonstrate vrps vrpn vaccine provide complete short longterm protection homologous strain challenge young senescent mouse test vrp vaccine efficacy heterologous sarscov used phylogenetic analysis synthetic biology reverse genetics construct chimeric virus icgdos encoding synthetic glycoprotein gene genetically divergent human strain gdo cluster among zoonotic sarscov icgds replicated efficiently human airway epithelial cell lung young senescent mouse highly resistant neutralization antiserum directed urbani strain although vrps vaccine provided complete shortterm protection heterologous icgds challenge young mouse limited protection seen vaccinated senescent animal vrpn vaccine failed protect homologous heterologous challenge resulted enhanced immunopathology eosinophilic infiltrates within lung sarscov–challenged mouse vrpn–induced pathology presented day peaked around day persisted day likely mediated cellular immune response conclusion study identifies gap challenge vaccine design controlling future sarscov zoonosis especially vulnerable elderly population availability sarscov virus bearing heterologous glycoprotein provides robust challenge inoculum evaluating vaccine efficacy zoonotic strain likely source future outbreak,2006-12-26,"Deming, Damon; Sheahan, Timothy; Heise, Mark; Yount, Boyd; Davis, Nancy; Sims, Amy; Suthar, Mehul; Harkema, Jack; Whitmore, Alan; Pickles, Raymond; West, Ande; Donaldson, Eric; Curtis, Kristopher; Johnston, Robert; Baric, Ralph",PLoS Med,,,,document_parses/pdf_json/29b6131c0d572d383cbc6774b12e4471aa612b07.json,document_parses/pmc_json/PMC1716185.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1716185/,,3
305,305,322,5qwtvm9x,57d2a2f022fc3ec32d1b92bb0a234c9f4ac8e1d6,PMC,DNA Encoding an HIV-1 Gag/Human Lysosome-Associated Membrane Protein-1 Chimera Elicits a Broad Cellular and Humoral Immune Response in Rhesus Macaques,10.1371/journal.pone.0000135,PMC1762437,17205139.0,cc-by,previous study hiv pgag immunization mouse demonstrated usefulness targeting antigen cellular compartment containing major histocompatibility complex type ii mhc ii complex molecule use dna antigen formulation encoding gag chimera mouse lysosomeassociated membrane protein mlampgag present study analyzed magnitude breadth gagspecific tlymphocyte antibody response elicited rhesus macaque immunization dna encoding human lampgag hlampgag chimera elispot analysis indicated average gagspecific ifnγ response elicited hlampgag chimera detectable two three naked dna immunization five immunized macaque reached average spotforming cell sfc pbmcs high ifnγ elispot response detected cddepleted cell indicating cd tcells play major role response tcell response four macaque also tested use elispot overlapping amino acid aa peptide pool containing ten peptide encompassing complete gag protein sequence two mamu immunized macaque responded eight twelve pool mamu b six macaque five pool indicating hlampgag dna antigen formulation elicits broad tcell response gag additionally strong hivspecific igg response igg antibody titer increased dna injection indicating strong amnestic bcell response highly elevated macaque three immunization moreover serum macaque recognized peptide aa peptide library covering complete gag amino acid sequence addition hivspecific iga antibody present plasma external secretion including nasal wash data support finding increased immunogenicity genetic vaccine encoded lamp chimera including response dna vaccine nonhuman primate,2006-12-27,"Chikhlikar, Priya; de Arruda, Luciana Barros; Maciel, Milton; Silvera, Peter; Lewis, Mark G.; August, J. Thomas; Marques, Ernesto T.A.",PLoS One,,,,document_parses/pdf_json/57d2a2f022fc3ec32d1b92bb0a234c9f4ac8e1d6.json,document_parses/pmc_json/PMC1762437.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1762437/,,3
396,396,416,n9sih438,4994fa72322bbf19120592304d92629226948d8e,PMC,Rapid Identification of Malaria Vaccine Candidates Based on α-Helical Coiled Coil Protein Motif,10.1371/journal.pone.0000645,PMC1920550,17653272.0,cc-by,identify malaria antigen vaccine development selected αhelical coiled coil domain protein predicted present parasite erythrocytic stage corresponding synthetic peptide expected mimic structurally “ native ” epitope indeed chemically synthesized peptide specifically recognized human immune serum though various prevalence peptide specific antibody obtained affinitypurification malaria immune serum immunization mouse antibody show significant cross reaction ie specific original peptide reacted native parasite protein infected erythrocyte several active inhibiting vitro parasite growth circular dichroism study indicated selected peptide assumed partial high αhelical content thus demonstrate bioinformaticschemical synthesis approach described lead rapid identification molecule target biologically active antibody thus identifying suitable vaccine candidate strategy principle extended vaccine discovery wide range pathogen,2007-07-25,"Villard, Viviane; Agak, George W.; Frank, Géraldine; Jafarshad, Ali; Servis, Catherine; Nébié, Issa; Sirima, Sodiomon B.; Felger, Ingrid; Arevalo-Herrera, Myriam; Herrera, Socrates; Heitz, Frederic; Bäcker, Volker; Druilhe, Pierre; Kajava, Andrey V.; Corradin, Giampietro",PLoS One,,,,document_parses/pdf_json/4994fa72322bbf19120592304d92629226948d8e.json,document_parses/pmc_json/PMC1920550.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1920550/,,3
