,Unnamed: 0,Unnamed: 0.1,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,cluster
310,310,327,ehnqhled,fa84d62d8e80e07fdcd1f5543bec8c3f2cb46b74,PMC,Mycoplasma alkalescens demonstrated in bronchoalveolar lavage of cattle in Denmark,10.1186/1751-0147-49-2,PMC1766361,17204146.0,cc-by,mycoplasma alkalescens argininemetabolizing mycoplasma found association mastitis arthritis cattle routine bacteriological examination bronchoalveolar lavage sample calf pneumonia single herd denmark identified alkalescens eight sample organism found sole bacterilogical finding five sample well combination mannheimia haemolytica haemophilus somni salmonella dublin first report isolation alkalescens denmark,2007-01-04,"Kokotovic, Branko; Friis, Niels F; Ahrens, Peter",Acta Vet Scand,,,,document_parses/pdf_json/fa84d62d8e80e07fdcd1f5543bec8c3f2cb46b74.json,document_parses/pmc_json/PMC1766361.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1766361/,,19
343,343,363,d53ntyb5,ec01394568507c47b7ef63f688ca9ca4c233964a,PMC,Viral and Bacterial Pathogens in Bovine Respiratory Disease in Finland,10.1186/1751-0147-45-193,PMC1820993,15663079.0,no-cc,pathogen causing bovine respiratory tract disease finland investigated eighteen cattle herd bovine respiratory disease included five diseased calf farm chosen closer examination tracheobronchial lavage blood sample taken calf time investigation calf – week later addition – blood sample animal different age collected herd resulting sample serum sample tested antibody bovine parainfluenza virus piv bovine respiratory syncytial virus brsv bovine coronavirus bcv bovine adenovirus bav bovine adenovirus bav one third sample also tested antibody bovine virus diarrhoea virus bvdv negative result bacteria cultured lavage fluid vitro susceptibility selected antimicrobial tested according serological finding piv bav bav bcv brsv common pathogen finnish cattle respiratory problem titre rise especially bav bav dual growth mycoplasma dispar pasteurella multocida typical finding diseased calf pasteurella sp strain showed resistance tested antimicrobial mycoplasma bovis mannheimia haemolytica found,2004-12-31,"Härtel, H; Nikunen, S; Neuvonen, E; Tanskanen, R; Kivelä, S-L; Aho, P; Soveri, T; Saloniemi, H",Acta Vet Scand,,,,document_parses/pdf_json/ec01394568507c47b7ef63f688ca9ca4c233964a.json,document_parses/pmc_json/PMC1820993.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1820993/,,19
344,344,364,kdorhgm6,9e8066b614f3db5212ebd32729dff2430cfc988a,PMC,Studies on Calf Diarrhoea in Mozambique: Prevalence of Bacterial Pathogens,10.1186/1751-0147-45-27,PMC1821001,15535084.0,no-cc,prevalence diarrhoea calf investigated dairy farm mozambique occasion consecutive year total calf month age reared farm sign diarrhoea two farm overall higher prevalence diarrhoea faecal sample collected diarrhoeal calf n healthy calf analysed salmonella specie campylobacter jejuni enterotoxigenic escherichia coli etec salmonella spp isolated calf campylobacter isolated calf irrespective health condition frequent one diarrhoeal farm p isolates identified c jejuni etec strain detected among tested strain diarrhoeal calf strain diarrhoeal calf strain healthy calf carried k adhesin p e coli isolates typed biochemical fingerprinting method pheneplate™ giving e coli diversity healthy diarrhoeal calf thus concluded overall prevalence diarrhoea low farm higher prevalence could due outbreak situation ii salmonella seem associated diarrhoea iii campylobacter jejuni common one diarrhoeal farm iv etec strain found k antigen prevalent e coli strain diarrhoeal calf healthy well prevalent one diarrhoeal farm,2004-03-31,"Achá, SJ; Kühn, I; Jonsson, P; Mbazima, G; Katouli, M; Möllby, R",Acta Vet Scand,,,,document_parses/pdf_json/9e8066b614f3db5212ebd32729dff2430cfc988a.json,document_parses/pmc_json/PMC1821001.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1821001/,,19
348,348,368,8gp5m2m6,a510ff06475118256003b81fbc9abdaa33242da1,PMC,"No Effect of a Homeopathic Preparation on Neonatal Calf Diarrhoea in a Randomised Double-Blind, Placebo-Controlled Clinical Trial",10.1186/1751-0147-44-97,PMC1831551,14650548.0,no-cc,doubleblind placebocontrolled clinical trial homeopathic treatment neonatal calf diarrhoea performed using calf dairy herd calf spontaneously derived diarrhoea treated either homeopathic remedy podophyllum n placebo n clinically statistically significant difference group demonstrated calf treated podophyllum average day diarrhoea compared day placebo group depression inappetence fever presented equally group result support widely held opinion scientific proof efficacy veterinary homeopathy lacking european union implies considerable risk animal welfare since country priority given homeopathic treatment organic farming,2003-06-30,"de Verdier, K; Öhagen, P; Alenius, S",Acta Vet Scand,,,,document_parses/pdf_json/a510ff06475118256003b81fbc9abdaa33242da1.json,document_parses/pmc_json/PMC1831551.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1831551/,,19
349,349,369,4jn4mocv,c905423410ad459a067d65c11efbb89fa196d751,PMC,Cryptosporidium parvum and Giardia intestinalis in Calf Diarrhoea in Sweden,10.1186/1751-0147-44-145,PMC1831560,15074627.0,no-cc,objective study conducted herd investigate presence significance cryptosporidium parvum giardia intestinalis swedish dairy calf comparison rotavirus coronavirus escherichia coli k farmer asked collect faecal sample heifer calf diarrhoea birth day age also healthy calf age total sample collected analysed c parvum either alone together g intestinalis andor rotavirus detected sample diarrhoeic healthy calf respectively even though higher proportion diarrhoeic calf shed c parvum difference group statistically significant p possibly due low number positive sample g intestinalis found diarrhoea sample sample healthy calf rotavirus coronavirus demonstrated diarrhoea sample respectively whereas e coli k found sample healthy calf c parvum g intestinalis found sample calf day age season result confirm c parvum present swedish dairy herd might clinical significance g intestinalis common agent found importance parasite remains unclear parasite suggested zoonotic potential thus warrant attention addition rotavirus major pathogen neonatal enteritis sweden whereas coronavirus e coli k seem le importance,2003-09-30,"Björkman, C; Svensson, C; Christensson, B; de Verdier, K",Acta Vet Scand,,,,document_parses/pdf_json/c905423410ad459a067d65c11efbb89fa196d751.json,document_parses/pmc_json/PMC1831560.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1831560/,,19
450,450,471,m72a3b8y,c135b16e3b78c0c09c16de6287ddb1233acf9bd3,PMC,Bovine Respiratory Syncytial Virus (BRSV) Pneumonia in Beef Calf Herds Despite Vaccination,10.1186/1751-0147-42-113,PMC2202333,11455891.0,no-cc,present report describes clinical pathological serological virological finding calf larger danish beef herd experiencing outbreak pneumonia calf vaccinated inactivated bovine respiratory syncytial virus brsv vaccine month prior outbreak clinical sign comprised nasal discharge pyrexia cough increased respiratory rate total calf died herd laboratory investigation revealed brsv involved probably initiated outbreak furthermore serological result suggested vaccine induced sparse level antibody probably due presence maternally derived antibody time vaccination necropsy finding calf revealed change typical infectious pneumonia involvment brsv conclusion vaccination calf brsv danish beef herd failed protect calf severe even fatal brsv mediated respiratory disease month later,2001-03-31,"Larsen, LE; Tegtmeier, C; Pedersen, E",Acta Vet Scand,,,,document_parses/pdf_json/c135b16e3b78c0c09c16de6287ddb1233acf9bd3.json,document_parses/pmc_json/PMC2202333.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2202333/,,19
1555,1555,1676,5b29wtim,854e623d1f875e4605b2ffd3f72599d063a56cc0,PMC,Diversity of Salmonella spp. serovars isolated from the intestines of water buffalo calves with gastroenteritis,10.1186/1746-6148-8-201,PMC3514206,23098237.0,cc-by,background salmonellosis water buffalo bubalus bubalis calf widespread disease characterized severe gastrointestinal lesion profuse diarrhea severe dehydration occasionally exhibiting systemic course several salmonella serovars seem able infect water buffalo salmonella isolates collected animal specie poorly characterized present study prevalence salmonella spp water buffalo calf affected lethal gastroenteritis assessed polyphasic characterization isolated strain typhimurium performed result microbiological analysis intestinal content obtained water buffalo calf affected lethal gastroenteritis exhibited significant prevalence salmonella spp characterized different serovars frequently typhimurium muenster give typhimurium isolates associated enterocolitis characterized severe damage intestine sporadically isolated another possible causative agent responsible gastroenteritis cryptosporidium spp rotavirus clostridium perfringens salmonella isolates mostly isolated minor intestinal lesion often case isolated microorganism mainly toxinogenic escherichia coli cryptosporidium spp rotavirus typhimurium strain characterized phage typing genotyped polymerase chain reaction pcr detection virulence gene isolates exhibited nine different phage type different genetic profile three monophasic typhimurium bi isolates also found characterized displaying three different phage type three different virulotypes molecular characterization extended muenster give isolates collected indicating existence different virulotypes also within serovars three representative strain typhimurium tested vivo mouse model mixed infection pathogenic strain characterized high number virulence factor presence locus agfa coding thin aggregative fimbria conclusion result provide evidence salmonella frequently associated gastroenteritis water buffalo calf particularly typhimurium moreover variety number distribution different virulence marker among collected typhimurium strain suggests within serovar different pathotypes potentially responsible different clinical syndrome,2012-10-25,"Borriello, Giorgia; Lucibelli, Maria G; Pesciaroli, Michele; Carullo, Maria R; Graziani, Caterina; Ammendola, Serena; Battistoni, Andrea; Ercolini, Danilo; Pasquali, Paolo; Galiero, Giorgio",BMC Vet Res,,,,document_parses/pdf_json/854e623d1f875e4605b2ffd3f72599d063a56cc0.json,document_parses/pmc_json/PMC3514206.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3514206/,,19
1981,1981,2123,uxghqdei,04e156a83cb3b0b2da2ed07eec1a669be53575b5,PMC,"An overview of calf diarrhea - infectious etiology, diagnosis, and intervention",10.4142/jvs.2014.15.1.1,PMC3973752,24378583.0,cc-by-nc,calf diarrhea commonly reported disease young animal still major cause productivity economic loss cattle producer worldwide report national animal health monitoring system u dairy half death among unweaned calf attributed diarrhea multiple pathogen known postulated cause contribute calf diarrhea development factor including environment management practice influence disease severity outcome multifactorial nature calf diarrhea make disease hard control effectively modern cowcalf operation purpose review provide better understanding ecology pathogenesis wellknown potential bovine enteric pathogen implicated calf diarrhea b describe diagnostic test used detect various enteric pathogen along pro con c propose improved intervention strategy treating calf diarrhea,2014-03-19,"Cho, Yong-il; Yoon, Kyoung-Jin",J Vet Sci,,,,document_parses/pdf_json/04e156a83cb3b0b2da2ed07eec1a669be53575b5.json,document_parses/pmc_json/PMC3973752.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3973752/,,19
3186,3186,3376,r20lgxa1,efcd7d171bb51acf2ef0a631901900497957a3be,PMC,Relationship between hepcidin and oxidant/antioxidant status in calves with suspected neonatal septicemia,10.14202/vetworld.2016.1238-1241,PMC5146304,27956775.0,cc-by,aim study conducted purpose determining serum hepcidin total antioxidant status ta total oxidant status tos fe level calf suspected neonatal septicemia treatment clinical significance hepcidin calf suspected neonatal septicemia material method study material consisted calf different age sex brought training research application center kafka university faculty veterinary medicine suspected neonatal septicemia ml blood drawn jugular vein animal coagulant tube treatment oneoff biochemical analysis centrifuged serum separated hepcidin ta tos fe level serum measured result pretreatment hepcidin level ± ngml posttreatment level ± ngml p pretreatment fe level ± µgdl posttreatment level ± µgdl p change ta tos level also found statistically significant conclusion light fact hepcidin play role function regulation fe well fact fe significant nutritional source many microorganism concluded hepcidin may play significant role nutritional immunity pathogenesis disease,2016-11-14,"Erkilic, E. E.; Erdogan, H. M.; Ogun, M.; Kirmizigul, A. H.; Gokce, E.; Kuru, M.; Kukurt, A.",Vet World,,,,document_parses/pdf_json/efcd7d171bb51acf2ef0a631901900497957a3be.json,document_parses/pmc_json/PMC5146304.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5146304/,,19
3634,3634,3847,bsjxvoqh,ec0a66b8b227c1a0ced88608d544e3b98120d557,PMC,"Bacteriological study of calf colisepticemia in Alage Dairy Farm, Southern Ethiopia",10.1186/s13104-017-3038-2,PMC5719531,29212529.0,cc-by,objective study designed estimate prevalence e coli main cause colisepticemia potential risk factor associated disease total calf le month age selected study isolation identification e coli bacterial culture biochemical test used result calf selected study positive septicemic e coli higher prevalence recorded holstein friesian breed boran breed however breed showed significant difference e coli infection p higher prevalence e coli revealed age day calf aged day day however statistical association showed difference p parity showed significant difference prevalence e coli p infection increased number parity sex animal showed association infection calf p diarrheic calf showed higher prevalence nondiarrheic calf strong statistical association p present study showed high prevalence septicemic e coli farm intervention strongly recommended,2017-12-07,"Tedla, Mebrahtu; Degefa, Kebede",BMC Res Notes,,,,document_parses/pdf_json/ec0a66b8b227c1a0ced88608d544e3b98120d557.json,document_parses/pmc_json/PMC5719531.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5719531/,,19
