,Unnamed: 0,Unnamed: 0.1,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,cluster
1,1,1,02tnwd4m,6b0567729c2143a66d737eb0a2f63f2dce2e5a7d,PMC,Nitric oxide: a pro-inflammatory mediator in lung disease?,10.1186/rr14,PMC59543,11667967.0,no-cc,inflammatory disease respiratory tract commonly associated elevated production nitric oxide no• increased index no• dependent oxidative stress although no• known antimicrobial antiinflammatory antioxidant property various line evidence support contribution no• lung injury several disease model basis biochemical evidence often presumed no• dependent oxidation due formation oxidant peroxynitrite although alternative mechanism involving phagocytederived heme protein myeloperoxidase eosinophil peroxidase might operative condition inflammation overwhelming literature no• generation activity respiratory tract would beyond scope commentary review area comprehensively instead focus recent evidence concept presumed contribution no• inflammatory disease lung,2000-08-15,"Vliet, Albert van der; Eiserich, Jason P; Cross, Carroll E",Respir Res,,,,document_parses/pdf_json/6b0567729c2143a66d737eb0a2f63f2dce2e5a7d.json,document_parses/pmc_json/PMC59543.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59543/,,23
2,2,2,ejv2xln0,06ced00a5fc04215949aa72528f2eeaae1d58927,PMC,Surfactant protein-D and pulmonary host defense,10.1186/rr19,PMC59549,11667972.0,no-cc,surfactant proteind spd participates innate response inhaled microorganism organic antigen contributes immune inflammatory regulation within lung spd synthesized secreted alveolar bronchiolar epithelial cell also expressed epithelial cell lining various exocrine duct mucosa gastrointestinal genitourinary tract spd collagenous calciumdependent lectin collectin bind surface glycoconjugates expressed wide variety microorganism oligosaccharide associated surface various complex organic antigen spd also specifically interacts glycoconjugates molecule expressed surface macrophage neutrophil lymphocyte addition spd bind specific surfactantassociated lipid influence organization lipid mixture containing phosphatidylinositol vitro consistent diverse vitro activity observation spddeficient transgenic mouse show abnormal accumulation surfactant lipid respond abnormally challenge respiratory virus bacterial lipopolysaccharides phenotype macrophage isolated lung spddeficient mouse altered circumstantial evidence abnormal oxidant metabolism andor increased metalloproteinase expression contributes development emphysema expression spd increased response many form lung injury deficient accumulation appropriately oligomerized spd might contribute pathogenesis variety human lung disease,2000-08-25,"Crouch, Erika C",Respir Res,,,,document_parses/pdf_json/06ced00a5fc04215949aa72528f2eeaae1d58927.json,document_parses/pmc_json/PMC59549.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59549/,,23
3,3,3,2b73a28n,348055649b6b8cf2b9a376498df9bf41f7123605,PMC,Role of endothelin-1 in lung disease,10.1186/rr44,PMC59574,11686871.0,no-cc,endothelin et amino acid peptide diverse biological activity implicated numerous disease et potent mitogen regulator smooth muscle tone inflammatory mediator may play key role disease airway pulmonary circulation inflammatory lung disease acute chronic review focus biology et role lung disease,2001-02-22,"Fagan, Karen A; McMurtry, Ivan F; Rodman, David M",Respir Res,,,,document_parses/pdf_json/348055649b6b8cf2b9a376498df9bf41f7123605.json,document_parses/pmc_json/PMC59574.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59574/,,23
40,40,43,eiqypt0m,6a8ac55ea2a1fbd99deb683e24dd986e55e707b3,PMC,Herpes simplex virus type 1 and normal protein permeability in the lungs of critically ill patients: a case for low pathogenicity?,10.1186/cc2850,PMC468896,15153242.0,no-cc,introduction pathogenicity late respiratory infection herpes simplex virus type hsv critically ill unclear method four critically ill patient persistent pulmonary infiltrates unknown origin isolation hsv tracheal aspirate bronchoalveolar lavage fluid – day start mechanical ventilatory support pulmonary leak index pli gallium gatransferrin upper limit normal × min measured result pli ranged × min study patient two patient received course acyclovir survived conclusion normal capillary permeability observed lung argues pathogenicity hsv critically ill favor isolation virus reflects reactivation course serious illness immunodepresssion rather primary superimposed infection lung,2004-03-31,"Verheij, Joanne; Groeneveld, AB Johan; Beishuizen, Albertus; Lingen, Arthur van; Simoons-Smit, Alberdina M; van Schijndel, Rob JM Strack",Crit Care,,,,document_parses/pdf_json/6a8ac55ea2a1fbd99deb683e24dd986e55e707b3.json,document_parses/pmc_json/PMC468896.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC468896/,,23
60,60,63,mtmgur1u,18c21db94a22f1358057c6d797164ffe1585b395,PMC,"Dynamic changes of serum SARS-Coronavirus IgG, pulmonary function and radiography in patients recovering from SARS after hospital discharge",10.1186/1465-9921-6-5,PMC545044,15638943.0,cc-by,objective intent study examine recovery individual hospitalized severe acute respiratory syndrome sars year following discharge hospital parameter studied included serum level sars coronavirus sarscov igg antibody test lung function imaging data evaluate change lung fibrosis addition explored incidence femoral head necrosis individual recovering sars method subject study clinically diagnosed sars patient beijing china tested regularly serum level sarscov igg antibody lung function given chest xrays andor high resolution computerized tomography hrct examination chinese pla general hospital month followed release hospital individual found lung diffusion abnormities transfer coefficient carbon monoxide dlco predicted value pred received regular lung function test hrct examination followup phase order document change lung condition patient complained joint pain given magnetic resonance imaging mri examination femoral head finding subject patient tested positive serum sarscov igg testing positive patient suffering lung diffusion abnormities dlco pred patient exhibited lung fibrotic change month duration study patient lung diffusion abnormities examined exhibited improvement lung function fibrosis detected radiography individual receiving mri examination patient showed sign femoral head necrosis interpretation lack seropositive sarscov individual suggests may misdiagnosed case among subject included study testing positive serum level sarscov igg antibody decreased significantly month hospital discharge additionally found individual lung fibrosis showed spontaneous recovery finally subject developed femoral head necrosis,2005-01-08,"Xie, Lixin; Liu, Youning; Fan, Baoxing; Xiao, Yueyong; Tian, Qing; Chen, Liangan; Zhao, Hong; Chen, Weijun",Respir Res,,,,document_parses/pdf_json/18c21db94a22f1358057c6d797164ffe1585b395.json,document_parses/pmc_json/PMC545044.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545044/,,23
109,109,113,jz61fxpn,77aae7c898acfb4ff723de2af7928a38b169878a,PMC,CXCR2 is critical for dsRNA-induced lung injury: relevance to viral lung infection,10.1186/1476-9255-2-4,PMC1156932,15921526.0,cc-by,background respiratory viral infection characterized infiltration leukocyte including activated neutrophil lung lead sustained lung injury potentially contribute chronic lung disease specific mechanism recruiting neutrophil lung virusinduced lung inflammation injury fully elucidated since cxcl cxcl acting cxcr potent neutrophil chemoattractants investigated role dsrnainduced lung injury dsrna poly ic welldescribed synthetic agent mimicking acute viral infection method used – week old female balbc mouse intratracheally inject either singlestranded ssrna doublestranded rna dsrna airway lung harvested designated timepoints characterize elicited chemokine response resultant lung injury following dsrna exposure demonstrated qualititatively histopathologic analysis quantitatively facs protein mrna analysis bal fluid tissue sample repeated experiment first pretreating mouse antipmn corresponding control antibody subsequently pretreating separate cohort mouse anticxcr corresponding control antibody prior dsrna exposure result intratracheal dsrna led significant increase neutrophil infiltration lung injury balbc mouse h following dsrna response ssrna poly c control treatment expression cxcr ligand cxcr paralleled neutrophil recruitment lung neutrophil depletion study significantly reduced neutrophil infiltration lung injury response dsrna mouse pretreated antipmn monoclonal ab furthermore inhibition cxcr ligandscxcr interaction pretreating dsrnaexposed mouse anticxcr neutralizing ab also significantly attenuated neutrophil sequestration lung injury conclusion finding demonstrate cxc chemokine ligandcxcr biological axis critical pathogenesis dsrnainduced lung injury relevant acute viral infection,2005-05-28,"Londhe, Vedang A; Belperio, John A; Keane, Michael P; Burdick, Marie D; Xue, Ying Ying; Strieter, Robert M",J Inflamm (Lond),,,,document_parses/pdf_json/77aae7c898acfb4ff723de2af7928a38b169878a.json,document_parses/pmc_json/PMC1156932.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1156932/,,23
159,159,164,luzi6tfw,e2619c76a8dde67ace5623870a263a365d2c944b,PMC,Bench-to-bedside review: Adjuncts to mechanical ventilation in patients with acute lung injury,10.1186/cc3763,PMC1297606,16277735.0,no-cc,mechanical ventilation indispensable survival patient acute lung injury acute respiratory distress syndrome however excessive tidal volume inadequate lung recruitment may contribute mortality causing ventilatorinduced lung injury benchtobedside review present scientific rationale using adjunct mechanical ventilation aimed optimizing lung recruitment preventing deleterious consequence reduced tidal volume enhance co elimination tidal volume reduced following possible first ventilator respiratory frequency increased without necessarily generating intrinsic positive endexpiratory pressure second instrumental dead space reduced replacing heat moisture exchanger conventional humidifier third expiratory washout used replacing coladen gas present end expiration instrumental dead space fresh gas method still experimental optimizing lung recruitment preventing lung derecruitment following possibility first recruitment manoeuvre may performed hypoxaemic patient implementing preset positive endexpiratory pressure episode accidental lung derecruitment second patient turned prone position third closedcircuit endotracheal suctioning preferred open endotracheal suctioning,2005-06-28,"Rouby, Jean-Jacques; Lu, Qin",Crit Care,,,,document_parses/pdf_json/e2619c76a8dde67ace5623870a263a365d2c944b.json,document_parses/pmc_json/PMC1297606.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1297606/,,23
227,227,240,ik25nf14,adeb15fc330fe6710ad1c979d0a33035b52f3ba0,PMC,Lung epithelium as a sentinel and effector system in pneumonia – molecular mechanisms of pathogen recognition and signal transduction,10.1186/1465-9921-7-97,PMC1533821,16827942.0,cc-by,pneumonia common disease caused great diversity infectious agent responsible enormous morbidity mortality worldwide bronchial lung epithelium comprises large surface host environment attacked primary target lung infection besides acting mechanical barrier recent evidence suggests lung epithelium function important sentinel system pathogen equipped transmembranous cytosolic pathogensensing pattern recognition receptor epithelium detects invading pathogen complex signalling result epithelial cell activation essentially participates initiation orchestration subsequent innate adaptive immune response review summarize recent progress research focussing molecular mechanism pathogen detection host cell signal transduction subsequent activation lung epithelial cell pathogen virulence factor point open question analysis lung epithelial function host response pneumonia may pave way development innovative highly needed therapeutic pneumonia addition antibiotic,2006-07-08,"Hippenstiel, Stefan; Opitz, Bastian; Schmeck, Bernd; Suttorp, Norbert",Respir Res,,,,document_parses/pdf_json/adeb15fc330fe6710ad1c979d0a33035b52f3ba0.json,document_parses/pmc_json/PMC1533821.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1533821/,,23
340,340,360,6hret3xy,e39c8a18a3d59b83951c4ebc331c17a54e6dacab,PMC,Pathogeneses of respiratory infections with virulent and attenuated vaccinia viruses,10.1186/1743-422x-4-22,PMC1810241,17326843.0,cc-by,background respiratory infection neurovirulent vaccinia virus vv strain western reserve wr result acute infection lung followed dissemination virus organ cause lethality mouse mechanism lethality wellunderstood study analyzed virus replication host immune response intranasal infection lethal nonlethal dos vv using wr strain le virulent wyeth strain result wr strain replicated vigorously lung brain wyeth strain however difference virus titer brain mouse infected higher lethal dose lower nonlethal dose wr strain suggesting amount virus replication brain unlikely sole determining factor lethality wr strain grew better primary mouse lung cell wyeth strain lethal infection wr strain associated reduced number lymphocyte altered phenotype cell lung compared nonlethal infection wr wyeth strain severe thymus atrophy reduction cd cd double positive cell also observed lethal infection conclusion result suggest lethality induced intranasal infection high dose wr strain caused higher replication virus lung cell immune suppression early phase infection resulting uncontrolled virus replication lung,2007-02-27,"Hayasaka, Daisuke; Ennis, Francis A; Terajima, Masanori",Virol J,,,,document_parses/pdf_json/e39c8a18a3d59b83951c4ebc331c17a54e6dacab.json,document_parses/pmc_json/PMC1810241.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1810241/,,23
473,473,494,in6w5d2y,6338a6003446f87e273e5e6faea242b49e094891,PMC,Simian virus 40 vectors for pulmonary gene therapy,10.1186/1465-9921-8-74,PMC2238754,17967178.0,cc-by,background sepsis remains leading cause death critically ill patient one primary organ affected sepsis lung presenting acute respiratory distress syndrome ards organ damage sepsis involves alteration gene expression making gene transfer potential therapeutic modality work examines feasibility applying simian virus sv vector pulmonary gene therapy method sepsisinduced ards established cecal ligation double puncture clp sv vector carrying luciferase reporter gene svluc administered intratracheally immediately sepsis induction sham operated well clp rat given intratracheal pb adenovirus expressing luciferase served control luc transduction evaluated vivo light detection immunoassay luciferase mrna detection rtpcr tissue harvested septic rat vector abundance distribution alveolar cell evaluated using immunostaining sv vp capsid protein well double staining vp surfactant protein c prospc immunostaining tlymphocytes used evaluate cellular immune response induced vector result luc expression measured vivo light detection correlated immunoassay lung tissue harvested rat moreover result showed vector presence type ii alveolar cell vector induce significant cellular immune response conclusion present study demonstrated efficient uptake expression sv vector lung animal sepsisinduced ards vector appear capable vivo transduction alveolar type ii cell may thus become future therapeutic tool,2007-10-29,"Eid, Luminita; Bromberg, Zohar; EL-Latif, Mahmoud Abd; Zeira, Evelyn; Oppenheim, Ariella; Weiss, Yoram G",Respir Res,,,,document_parses/pdf_json/6338a6003446f87e273e5e6faea242b49e094891.json,document_parses/pmc_json/PMC2238754.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2238754/,,23
